Date,Confirmed_num
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,3
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,0
2020-01-31,2
2002-01-20,0
2002-02-20,0
2002-03-20,3
2002-04-20,0
2002-05-20,0
2002-06-20,1
2002-07-20,0
2002-08-20,0
2002-09-20,0
2002-10-20,0
2002-11-20,1
2002-12-20,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,0
2020-02-28,0
2020-02-29,7
2003-01-20,13
2003-02-20,18
2003-03-20,22
2003-04-20,34
2003-05-20,71
2003-06-20,63
2003-07-20,170
2003-08-20,121
2003-09-20,92
2003-10-20,167
2003-11-20,359
2003-12-20,440
2020-03-13,626
2020-03-14,730
2020-03-15,282
2020-03-16,1433
2020-03-17,1783
2020-03-18,2706
2020-03-19,4507
2020-03-20,6401
2020-03-21,5992
2020-03-22,8888
2020-03-23,11152
2020-03-24,10618
2020-03-25,12127
2020-03-26,17821
2020-03-27,18591
2020-03-28,22164
2020-03-29,16127
2020-03-30,22154
2020-03-31,26381
2004-01-20,31158
2004-02-20,32279
2004-03-20,32402
2004-04-20,31837
2004-05-20,29243
2004-06-20,31788
2004-07-20,30034
2004-08-20,31059
2004-09-20,35619
2004-10-20,34277
2004-11-20,28924
2004-12-20,26300
2020-04-13,27156
2020-04-14,28315
2020-04-15,25893
2020-04-16,29620
2020-04-17,33017
2020-04-18,27408
2020-04-19,25437
2020-04-20,30108
2020-04-21,26059
2020-04-22,29884
2020-04-23,31957
2020-04-24,31948
2020-04-25,30905
2020-04-26,25960
2020-04-27,24675
2020-04-28,24581
2020-04-29,26860
2020-04-30,29696
2005-01-20,34886
2005-02-20,26773
2005-03-20,23737
2005-04-20,23796
2005-05-20,24004
2005-06-20,24490
2005-07-20,27734
2005-08-20,27197
2005-09-20,24467
2005-10-20,18747
2005-11-20,19052
2005-12-20,23361
2020-05-13,20024
2020-05-14,25904
2020-05-15,24813
2020-05-16,24086
2020-05-17,18750
2020-05-18,22279
2020-05-19,20484
2020-05-20,22828
2020-05-21,25216
2020-05-22,23866
2020-05-23,20183
2020-05-24,20187
2020-05-25,19090
2020-05-26,18674
2020-05-27,18739
2020-05-28,21269
2020-05-29,25087
2020-05-30,23091
2020-05-31,18895
2006-01-20,17867
2006-02-20,20078
2006-03-20,19162
2006-04-20,27921
2006-05-20,26407
2006-06-20,20296
2006-07-20,17852
2006-08-20,16896
2006-09-20,20302
2006-10-20,21720
2006-11-20,22281
2006-12-20,25552
2020-06-13,24177
2020-06-14,18901
2020-06-15,20997
2020-06-16,24533
2020-06-17,27063
2020-06-18,28222
2020-06-19,31062
2020-06-20,31814
2020-06-21,25848
2020-06-22,29819
2020-06-23,38696
2020-06-24,36261
2020-06-25,39301
2020-06-26,49037
2020-06-27,40756
2020-06-28,42916
2020-06-29,41301
2020-06-30,49821
2007-01-20,49117
2007-02-20,54923
2007-03-20,51511
2007-04-20,45966
2007-05-20,53734
2007-06-20,43148
2007-07-20,57206
2007-08-20,60281
2007-09-20,59672
2007-10-20,68854
2007-11-20,60437
2007-12-20,60121
2020-07-13,59419
2020-07-14,65643
2020-07-15,65997
2020-07-16,70795
2020-07-17,66481
2020-07-18,64325
2020-07-19,58938
2020-07-20,60690
2020-07-21,68117
2020-07-22,67582
2020-07-23,67893
2020-07-24,75147
2020-07-25,64183
2020-07-26,55870
2020-07-27,59684
2020-07-28,64896
2020-07-29,64142
2020-07-30,69151
2020-07-31,64612
2008-01-20,57657
2008-02-20,47040
2008-03-20,41662
2008-04-20,61684
2008-05-20,54351
2008-06-20,60151
2008-07-20,60558
2008-08-20,64023
2008-09-20,54239
2008-10-20,51565
2008-11-20,57041
2008-12-20,55130
2020-08-13,51705
2020-08-14,70154
2020-08-15,52375
2020-08-16,34746
2020-08-17,37779
2020-08-18,44851
2020-08-19,45796
